"","x"
"1",0.00949245122808348
"2",0.0444153308042259
"3",0.103702200828975
"4",0.161094451949113
"5",0.187310232702586
"6",0.173883229581368
"7",0.134244397079644
"8",0.0886562994967581
"9",0.0511270876267455
"10",0.0261552075216685
"11",0.0120177782052245
"12",0.00500970441054672
"13",0.00191039968204986
"14",0.000671096894577322
"15",0.000218459370066277
"16",6.62369321817058e-05
"17",1.87891220620371e-05
"18",5.00596086793318e-06
"19",1.25703276630307e-06
"20",2.98417685649073e-07
"21",6.71620835913628e-08
"22",1.43658267927311e-08
"23",2.92703543976161e-09
"24",5.69262484215593e-10
"25",1.05877632920958e-10
"26",1.88649513556295e-11
"27",3.22522838729941e-12
"28",5.29858094682178e-13
"29",8.37620321427914e-14
"30",1.27577981977805e-14
"31",1.87438975974964e-15
"32",2.65938116988368e-16
"33",3.64743848428486e-17
"34",4.84065812719853e-18
"35",6.22195545301958e-19
"36",7.75227717409123e-20
"37",9.37053239630542e-21
"38",1.09967675562177e-21
"39",1.25385397753107e-22
"40",1.38998096479854e-23
"41",1.49911278907551e-24
"42",1.57395679363066e-25
"43",1.60968435821595e-26
"44",1.60443552198892e-27
"45",1.55944590587983e-28
"46",1.47879224950972e-29
"47",1.36881656736028e-30
"48",1.23733634598407e-31
"49",1.09277124161277e-32
"50",9.43313683536114e-34
"51",7.96245872563969e-35
"52",6.57467143504248e-36
"53",5.31253218054289e-37
"54",4.20231148821066e-38
"55",3.25526632930324e-39
"56",2.47026313740076e-40
"57",1.83696010290788e-41
"58",1.33903633144536e-42
"59",9.57089640897941e-44
"60",6.70976632525438e-45
"61",4.61508024827255e-46
"62",3.11520492547272e-47
"63",2.06416292781973e-48
"64",1.34295684536477e-49
"65",8.58120036478054e-51
"66",5.3864880101898e-52
"67",3.32227471733036e-53
"68",2.01388649854598e-54
"69",1.20004766510758e-55
"70",7.03100933702473e-57
"71",4.05117894738327e-58
"72",2.29602205936839e-59
"73",1.28022226026375e-60
"74",7.02410193590871e-62
"75",3.79290079040403e-63
"76",2.01606412301437e-64
"77",1.05502852346148e-65
"78",5.43655586338182e-67
"79",2.75901551049697e-68
"80",1.37918975985038e-69
"81",6.7920465716645e-71
"82",3.29571348461855e-72
"83",1.57591990799316e-73
"84",7.42705865128662e-75
"85",3.4503102214936e-76
"86",1.58021824567212e-77
"87",7.13594082134257e-79
"88",3.17772895025618e-80
"89",1.39562503847021e-81
"90",6.04589338008137e-83
"91",2.58371328825902e-84
"92",1.0893597017139e-85
"93",4.5320146858122e-87
"94",1.86060012309052e-88
"95",7.53883300600734e-90
"96",3.01502608514186e-91
"97",1.1903080928818e-92
"98",4.63931156340366e-94
