"","Interaction.pathway1","Interaction.pathway2","N"
"1","GO:0016570 "," GO:0034103",2
"2","GO:0006821 "," GO:0016570",1
"3","GO:0002221 "," GO:0016570",4
"4","GO:0006941 "," GO:0016570",2
"5","GO:0016569 "," GO:0045926",1
"6","GO:0034340 "," GO:0044259",1
"7","GO:0007589 "," GO:0060337",1
"8","GO:0016570 "," GO:0035150",3
"9","GO:0016570 "," GO:0048732",4
"10","GO:0016570 "," GO:0031281",3
"11","GO:0016570 "," GO:0050808",7
"12","GO:0016570 "," GO:0021675",6
"13","GO:0045087 "," GO:0046850",2
"14","GO:0016570 "," GO:0019079",2
"15","GO:0016570 "," GO:0045762",2
"16","GO:0007215 "," GO:0016570",2
"17","GO:0016570 "," GO:0051932",2
"18","GO:0016570 "," GO:2000242",2
"19","GO:0007369 "," GO:0016570",6
"20","GO:0014823 "," GO:0016570",3
"21","GO:0016570 "," GO:0042590",5
"22","GO:0002718 "," GO:0016570",3
"23","GO:0007585 "," GO:0016570",3
"24","GO:0016570 "," GO:0072028",2
"25","GO:0001838 "," GO:0045087",2
"26","GO:0016570 "," GO:0042391",3
"27","GO:0016570 "," GO:0048521",3
"28","GO:0016570 "," GO:0048638",3
"29","GO:0002687 "," GO:0016570",3
"30","GO:0016570 "," GO:0042471",2
"31","GO:0007423 "," GO:0016570",4
"32","GO:0006360 "," GO:0045087",2
"33","GO:0016570 "," GO:0072593",2
"34","GO:0001708 "," GO:0016570",2
"35","GO:0014855 "," GO:0016570",2
"36","GO:0002253 "," GO:0045087",10
"37","GO:0016570 "," GO:0042063",1
"38","GO:0016044 "," GO:0016570",2
"39","GO:0016570 "," GO:0048704",2
"40","GO:0006700 "," GO:0016570",4
"41","GO:0016570 "," GO:0050670",2
"42","GO:0034340 "," GO:0060396",1
"43","GO:0009615 "," GO:0016570",3
"44","GO:0002367 "," GO:0016570",2
"45","GO:0016525 "," GO:0016570",1
"46","GO:0016570 "," GO:0030509",4
"47","GO:0016570 "," GO:0042310",3
"48","GO:0016570 "," GO:0090066",2
"49","GO:0016570 "," GO:0090257",2
"50","GO:0045087 "," GO:2000106",2
"51","GO:0002764 "," GO:0045087",15
"52","GO:0006370 "," GO:0045087",1
"53","GO:0016570 "," GO:0032103",2
"54","GO:0016570 "," GO:0045927",2
"55","GO:0045087 "," GO:0050778",19
"56","GO:0016570 "," GO:0070663",3
"57","GO:0016570 "," GO:0060420",2
"58","GO:0016570 "," GO:0050679",2
"59","GO:0006813 "," GO:0016570",6
"60","GO:0016570 "," GO:0051260",1
"61","GO:0016570 "," GO:0050729",4
"62","GO:0016570 "," GO:0055017",1
"63","GO:0016570 "," GO:0072009",4
"64","GO:0002253 "," GO:0060337",1
"65","GO:0007270 "," GO:0016570",2
"66","GO:0008016 "," GO:0016569",1
"67","GO:0014068 "," GO:0034340",1
"68","GO:0016570 "," GO:0060326",6
"69","GO:0016570 "," GO:0048705",2
"70","GO:0016570 "," GO:0060317",1
"71","GO:0009581 "," GO:0016570",10
"72","GO:0016570 "," GO:0051349",2
"73","GO:0008652 "," GO:0016570",2
"74","GO:0060416 "," GO:0071357",1
"75","GO:0016570 "," GO:0042503",6
"76","GO:0016570 "," GO:0048010",2
"77","GO:0016570 "," GO:0051272",4
"78","GO:0034340 "," GO:0044364",1
"79","GO:0016570 "," GO:0048844",2
"80","GO:0016570 "," GO:0048706",1
"81","GO:0016570 "," GO:0051017",1
"82","GO:0016570 "," GO:0030510",2
"83","GO:0016570 "," GO:0030534",3
"84","GO:0016570 "," GO:0051147",4
"85","GO:0003229 "," GO:0016570",2
"86","GO:0016570 "," GO:0021983",2
"87","GO:0016570 "," GO:0046620",3
"88","GO:0016570 "," GO:0048588",1
"89","GO:0016570 "," GO:0060038",2
"90","GO:0008589 "," GO:0016570",2
"91","GO:0016570 "," GO:0045995",3
"92","GO:0045087 "," GO:0050853",2
"93","GO:0006363 "," GO:0060337",1
"94","GO:0009746 "," GO:0016570",2
"95","GO:0016570 "," GO:0048675",2
"96","GO:0034340 "," GO:0035148",2
"97","GO:0010243 "," GO:0016570",1
"98","GO:0016570 "," GO:0051216",2
"99","GO:0016570 "," GO:0061387",2
"100","GO:0002673 "," GO:0016570",3
"101","GO:0010717 "," GO:0016570",2
"102","GO:0016569 "," GO:0019882",1
"103","GO:0016570 "," GO:0061024",5
"104","GO:0016570 "," GO:0045665",3
"105","GO:0003012 "," GO:0016570",4
"106","GO:0016570 "," GO:0035270",1
"107","GO:0001936 "," GO:0016570",2
"108","GO:0016570 "," GO:0051346",2
"109","GO:0016570 "," GO:0061448",2
"110","GO:0046850 "," GO:0060337",1
"111","GO:0006458 "," GO:0016570",2
"112","GO:0016570 "," GO:0051588",2
"113","GO:0016570 "," GO:0072210",1
"114","GO:0016570 "," GO:0035136",1
"115","GO:0016570 "," GO:0071705",2
"116","GO:0045087 "," GO:0060396",2
"117","GO:0009749 "," GO:0016570",2
"118","GO:0006378 "," GO:0016570",2
"119","GO:0016570 "," GO:0036294",4
"120","GO:0016570 "," GO:0071456",1
"121","GO:0006493 "," GO:0016570",3
"122","GO:0016570 "," GO:0033555",1
"123","GO:0016570 "," GO:0034332",1
"124","GO:0003156 "," GO:0016570",2
"125","GO:0016570 "," GO:0061138",2
"126","GO:0007589 "," GO:0034340",1
"127","GO:0016570 "," GO:0072073",3
"128","GO:0016570 "," GO:0045088",4
"129","GO:0048524 "," GO:0071357",1
"130","GO:0014070 "," GO:0016570",1
